Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,26.4,81,Moderate,20.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,20.5,69,Moderate,15.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,14.7,56,Moderate,9.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,11.8,49,Good,9.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,8.9,37,Good,6.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,6.9,29,Good,5.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,7.9,33,Good,9.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,16.4,60,Moderate,25.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,19.2,66,Moderate,22.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,13.1,53,Moderate,7.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,11.0,46,Good,9.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,9.0,38,Good,7.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,7.5,31,Good,6.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,8.8,37,Good,10.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,11.9,50,Good,15.0,UG/M3,1 Hr,Valid
