"","Date","Year","Month","Day","Hour","AQI","dates"
"1","01-01-16 1:00",2016,1,1,1,117,2016-01-01
"2","01-01-16 2:00",2016,1,1,2,113,2016-01-01
"3","01-01-16 3:00",2016,1,1,3,111,2016-01-01
"4","01-01-16 4:00",2016,1,1,4,109,2016-01-01
"5","01-01-16 5:00",2016,1,1,5,102,2016-01-01
"6","01-01-16 6:00",2016,1,1,6,107,2016-01-01
"7","01-01-16 7:00",2016,1,1,7,151,2016-01-01
"8","01-01-16 8:00",2016,1,1,8,158,2016-01-01
"9","01-01-16 9:00",2016,1,1,9,137,2016-01-01
"10","01-01-16 10:00",2016,1,1,10,112,2016-01-01
"11","01-01-16 11:00",2016,1,1,11,110,2016-01-01
"12","01-01-16 12:00",2016,1,1,12,103,2016-01-01
"13","01-01-16 13:00",2016,1,1,13,103,2016-01-01
"14","01-01-16 14:00",2016,1,1,14,99,2016-01-01
"15","01-01-16 15:00",2016,1,1,15,101,2016-01-01
"16","01-01-16 16:00",2016,1,1,16,103,2016-01-01
"17","01-01-16 17:00",2016,1,1,17,112,2016-01-01
"18","01-01-16 18:00",2016,1,1,18,123,2016-01-01
"19","01-01-16 19:00",2016,1,1,19,142,2016-01-01
"20","01-01-16 20:00",2016,1,1,20,148,2016-01-01
"21","01-01-16 21:00",2016,1,1,21,147,2016-01-01
"22","01-01-16 22:00",2016,1,1,22,134,2016-01-01
"23","01-01-16 23:00",2016,1,1,23,130,2016-01-01
"24","02-01-16 0:00",2016,1,2,0,125,2016-01-02
"25","02-01-16 1:00",2016,1,2,1,121,2016-01-02
"26","02-01-16 2:00",2016,1,2,2,115,2016-01-02
"27","02-01-16 3:00",2016,1,2,3,121,2016-01-02
"28","02-01-16 4:00",2016,1,2,4,142,2016-01-02
"29","02-01-16 5:00",2016,1,2,5,154,2016-01-02
"30","02-01-16 6:00",2016,1,2,6,159,2016-01-02
"31","02-01-16 7:00",2016,1,2,7,162,2016-01-02
"32","02-01-16 8:00",2016,1,2,8,164,2016-01-02
"33","02-01-16 9:00",2016,1,2,9,163,2016-01-02
"34","02-01-16 10:00",2016,1,2,10,166,2016-01-02
"35","02-01-16 11:00",2016,1,2,11,164,2016-01-02
"36","02-01-16 12:00",2016,1,2,12,156,2016-01-02
"37","02-01-16 13:00",2016,1,2,13,152,2016-01-02
"38","02-01-16 14:00",2016,1,2,14,144,2016-01-02
"39","02-01-16 15:00",2016,1,2,15,135,2016-01-02
"40","02-01-16 16:00",2016,1,2,16,130,2016-01-02
"41","02-01-16 17:00",2016,1,2,17,139,2016-01-02
"42","02-01-16 18:00",2016,1,2,18,149,2016-01-02
"43","02-01-16 19:00",2016,1,2,19,152,2016-01-02
"44","02-01-16 20:00",2016,1,2,20,153,2016-01-02
"45","02-01-16 21:00",2016,1,2,21,153,2016-01-02
"46","02-01-16 22:00",2016,1,2,22,151,2016-01-02
"47","02-01-16 23:00",2016,1,2,23,152,2016-01-02
"48","03-01-16 0:00",2016,1,3,0,163,2016-01-03
"49","03-01-16 1:00",2016,1,3,1,165,2016-01-03
"50","03-01-16 2:00",2016,1,3,2,167,2016-01-03
"51","03-01-16 3:00",2016,1,3,3,164,2016-01-03
"52","03-01-16 4:00",2016,1,3,4,167,2016-01-03
"53","03-01-16 5:00",2016,1,3,5,165,2016-01-03
"54","03-01-16 6:00",2016,1,3,6,165,2016-01-03
"55","03-01-16 7:00",2016,1,3,7,168,2016-01-03
"56","03-01-16 8:00",2016,1,3,8,169,2016-01-03
"57","03-01-16 9:00",2016,1,3,9,169,2016-01-03
"58","03-01-16 10:00",2016,1,3,10,169,2016-01-03
"59","03-01-16 11:00",2016,1,3,11,156,2016-01-03
"60","03-01-16 12:00",2016,1,3,12,138,2016-01-03
"61","03-01-16 13:00",2016,1,3,13,117,2016-01-03
"62","03-01-16 14:00",2016,1,3,14,107,2016-01-03
"63","03-01-16 15:00",2016,1,3,15,106,2016-01-03
"64","03-01-16 16:00",2016,1,3,16,113,2016-01-03
"65","03-01-16 17:00",2016,1,3,17,121,2016-01-03
"66","03-01-16 18:00",2016,1,3,18,126,2016-01-03
"67","03-01-16 19:00",2016,1,3,19,125,2016-01-03
"68","03-01-16 20:00",2016,1,3,20,117,2016-01-03
"69","03-01-16 21:00",2016,1,3,21,113,2016-01-03
"70","03-01-16 22:00",2016,1,3,22,114,2016-01-03
"71","03-01-16 23:00",2016,1,3,23,110,2016-01-03
"72","04-01-16 0:00",2016,1,4,0,97,2016-01-04
"73","04-01-16 1:00",2016,1,4,1,95,2016-01-04
"74","04-01-16 2:00",2016,1,4,2,93,2016-01-04
"75","04-01-16 3:00",2016,1,4,3,89,2016-01-04
"76","04-01-16 4:00",2016,1,4,4,86,2016-01-04
"77","04-01-16 5:00",2016,1,4,5,105,2016-01-04
"78","04-01-16 6:00",2016,1,4,6,152,2016-01-04
"79","04-01-16 7:00",2016,1,4,7,158,2016-01-04
"80","04-01-16 8:00",2016,1,4,8,166,2016-01-04
"81","04-01-16 9:00",2016,1,4,9,169,2016-01-04
"82","04-01-16 10:00",2016,1,4,10,164,2016-01-04
"83","04-01-16 11:00",2016,1,4,11,154,2016-01-04
"84","04-01-16 12:00",2016,1,4,12,129,2016-01-04
"85","04-01-16 13:00",2016,1,4,13,107,2016-01-04
"86","04-01-16 14:00",2016,1,4,14,99,2016-01-04
"87","04-01-16 15:00",2016,1,4,15,94,2016-01-04
"88","04-01-16 16:00",2016,1,4,16,96,2016-01-04
"89","04-01-16 17:00",2016,1,4,17,95,2016-01-04
"90","04-01-16 18:00",2016,1,4,18,100,2016-01-04
"91","04-01-16 19:00",2016,1,4,19,97,2016-01-04
"92","04-01-16 20:00",2016,1,4,20,102,2016-01-04
"93","04-01-16 21:00",2016,1,4,21,112,2016-01-04
"94","04-01-16 22:00",2016,1,4,22,110,2016-01-04
"95","04-01-16 23:00",2016,1,4,23,104,2016-01-04
"96","05-01-16 0:00",2016,1,5,0,100,2016-01-05
"97","05-01-16 1:00",2016,1,5,1,101,2016-01-05
"98","05-01-16 2:00",2016,1,5,2,92,2016-01-05
"99","05-01-16 3:00",2016,1,5,3,89,2016-01-05
"100","05-01-16 4:00",2016,1,5,4,112,2016-01-05
"101","05-01-16 5:00",2016,1,5,5,152,2016-01-05
"102","05-01-16 6:00",2016,1,5,6,157,2016-01-05
"103","05-01-16 7:00",2016,1,5,7,171,2016-01-05
"104","05-01-16 8:00",2016,1,5,8,187,2016-01-05
"105","05-01-16 9:00",2016,1,5,9,189,2016-01-05
"106","05-01-16 10:00",2016,1,5,10,184,2016-01-05
"107","05-01-16 11:00",2016,1,5,11,184,2016-01-05
"108","05-01-16 12:00",2016,1,5,12,156,2016-01-05
"109","05-01-16 13:00",2016,1,5,13,125,2016-01-05
"110","05-01-16 14:00",2016,1,5,14,105,2016-01-05
"111","05-01-16 15:00",2016,1,5,15,109,2016-01-05
"112","05-01-16 16:00",2016,1,5,16,108,2016-01-05
"113","05-01-16 17:00",2016,1,5,17,124,2016-01-05
"114","05-01-16 18:00",2016,1,5,18,123,2016-01-05
"115","05-01-16 19:00",2016,1,5,19,113,2016-01-05
"116","05-01-16 20:00",2016,1,5,20,99,2016-01-05
"117","05-01-16 21:00",2016,1,5,21,97,2016-01-05
"118","05-01-16 22:00",2016,1,5,22,97,2016-01-05
"119","05-01-16 23:00",2016,1,5,23,95,2016-01-05
"120","06-01-16 0:00",2016,1,6,0,90,2016-01-06
"121","06-01-16 1:00",2016,1,6,1,93,2016-01-06
"122","06-01-16 2:00",2016,1,6,2,100,2016-01-06
"123","06-01-16 3:00",2016,1,6,3,140,2016-01-06
"124","06-01-16 4:00",2016,1,6,4,151,2016-01-06
"125","06-01-16 5:00",2016,1,6,5,159,2016-01-06
"126","06-01-16 6:00",2016,1,6,6,170,2016-01-06
"127","06-01-16 7:00",2016,1,6,7,172,2016-01-06
"128","06-01-16 8:00",2016,1,6,8,169,2016-01-06
"129","06-01-16 9:00",2016,1,6,9,167,2016-01-06
"130","06-01-16 10:00",2016,1,6,10,166,2016-01-06
"131","06-01-16 11:00",2016,1,6,11,154,2016-01-06
"132","06-01-16 12:00",2016,1,6,12,136,2016-01-06
"133","06-01-16 13:00",2016,1,6,13,113,2016-01-06
"134","06-01-16 14:00",2016,1,6,14,111,2016-01-06
"135","06-01-16 15:00",2016,1,6,15,107,2016-01-06
"136","06-01-16 16:00",2016,1,6,16,104,2016-01-06
"137","06-01-16 17:00",2016,1,6,17,113,2016-01-06
"138","06-01-16 18:00",2016,1,6,18,124,2016-01-06
"139","06-01-16 19:00",2016,1,6,19,135,2016-01-06
"140","06-01-16 20:00",2016,1,6,20,122,2016-01-06
"141","06-01-16 21:00",2016,1,6,21,113,2016-01-06
"142","06-01-16 22:00",2016,1,6,22,105,2016-01-06
"143","06-01-16 23:00",2016,1,6,23,97,2016-01-06
"144","07-01-16 0:00",2016,1,7,0,95,2016-01-07
"145","07-01-16 1:00",2016,1,7,1,93,2016-01-07
"146","07-01-16 2:00",2016,1,7,2,92,2016-01-07
