Date (LT),Year,Month,Day,Hour,AQI
01-01-19 1:00,2019,1,1,1,163
01-01-19 2:00,2019,1,1,2,174
01-01-19 3:00,2019,1,1,3,179
01-01-19 4:00,2019,1,1,4,188
01-01-19 5:00,2019,1,1,5,191
01-01-19 6:00,2019,1,1,6,199
01-01-19 7:00,2019,1,1,7,213
01-01-19 8:00,2019,1,1,8,209
01-01-19 9:00,2019,1,1,9,206
01-01-19 10:00,2019,1,1,10,191
01-01-19 11:00,2019,1,1,11,177
01-01-19 12:00,2019,1,1,12,165
01-01-19 13:00,2019,1,1,13,158
01-01-19 14:00,2019,1,1,14,155
01-01-19 15:00,2019,1,1,15,153
01-01-19 16:00,2019,1,1,16,152
01-01-19 17:00,2019,1,1,17,148
01-01-19 18:00,2019,1,1,18,137
01-01-19 19:00,2019,1,1,19,149
01-01-19 20:00,2019,1,1,20,157
01-01-19 21:00,2019,1,1,21,165
01-01-19 22:00,2019,1,1,22,176
01-01-19 23:00,2019,1,1,23,174
02-01-19 0:00,2019,1,2,0,177
02-01-19 1:00,2019,1,2,1,180
02-01-19 2:00,2019,1,2,2,183
02-01-19 3:00,2019,1,2,3,187
02-01-19 4:00,2019,1,2,4,184
02-01-19 5:00,2019,1,2,5,180
02-01-19 6:00,2019,1,2,6,174
02-01-19 7:00,2019,1,2,7,176
02-01-19 8:00,2019,1,2,8,184
02-01-19 9:00,2019,1,2,9,210
02-01-19 10:00,2019,1,2,10,218
02-01-19 11:00,2019,1,2,11,194
02-01-19 12:00,2019,1,2,12,180
02-01-19 13:00,2019,1,2,13,167
02-01-19 14:00,2019,1,2,14,158
02-01-19 15:00,2019,1,2,15,149
02-01-19 16:00,2019,1,2,16,135
02-01-19 17:00,2019,1,2,17,124
02-01-19 18:00,2019,1,2,18,117
02-01-19 19:00,2019,1,2,19,149
02-01-19 20:00,2019,1,2,20,159
02-01-19 21:00,2019,1,2,21,167
02-01-19 22:00,2019,1,2,22,172
02-01-19 23:00,2019,1,2,23,179
03-01-19 0:00,2019,1,3,0,181
03-01-19 1:00,2019,1,3,1,182
03-01-19 2:00,2019,1,3,2,186
03-01-19 3:00,2019,1,3,3,190
03-01-19 4:00,2019,1,3,4,194
03-01-19 5:00,2019,1,3,5,191
03-01-19 6:00,2019,1,3,6,192
03-01-19 7:00,2019,1,3,7,194
03-01-19 8:00,2019,1,3,8,204
03-01-19 9:00,2019,1,3,9,196
03-01-19 10:00,2019,1,3,10,197
03-01-19 11:00,2019,1,3,11,199
03-01-19 12:00,2019,1,3,12,195
03-01-19 13:00,2019,1,3,13,193
03-01-19 14:00,2019,1,3,14,189
03-01-19 15:00,2019,1,3,15,182
03-01-19 16:00,2019,1,3,16,167
03-01-19 17:00,2019,1,3,17,156
03-01-19 18:00,2019,1,3,18,145
03-01-19 19:00,2019,1,3,19,157
03-01-19 20:00,2019,1,3,20,162
