Date (LT),Year,Month,Day,Hour,AQI
01-01-18 1:00,2018,1,1,1,197
01-01-18 2:00,2018,1,1,2,200
01-01-18 3:00,2018,1,1,3,204
01-01-18 4:00,2018,1,1,4,204
01-01-18 5:00,2018,1,1,5,236
01-01-18 6:00,2018,1,1,6,252
01-01-18 7:00,2018,1,1,7,238
01-01-18 8:00,2018,1,1,8,240
01-01-18 9:00,2018,1,1,9,257
01-01-18 10:00,2018,1,1,10,281
01-01-18 11:00,2018,1,1,11,286
01-01-18 12:00,2018,1,1,12,273
01-01-18 13:00,2018,1,1,13,266
01-01-18 14:00,2018,1,1,14,220
01-01-18 15:00,2018,1,1,15,198
01-01-18 16:00,2018,1,1,16,182
01-01-18 17:00,2018,1,1,17,174
01-01-18 18:00,2018,1,1,18,169
01-01-18 19:00,2018,1,1,19,168
01-01-18 20:00,2018,1,1,20,174
01-01-18 21:00,2018,1,1,21,181
01-01-18 22:00,2018,1,1,22,185
01-01-18 23:00,2018,1,1,23,189
02-01-18 0:00,2018,1,2,0,191
02-01-18 1:00,2018,1,2,1,206
02-01-18 2:00,2018,1,2,2,217
02-01-18 3:00,2018,1,2,3,209
02-01-18 4:00,2018,1,2,4,201
02-01-18 5:00,2018,1,2,5,228
02-01-18 6:00,2018,1,2,6,242
02-01-18 7:00,2018,1,2,7,231
02-01-18 8:00,2018,1,2,8,226
02-01-18 9:00,2018,1,2,9,224
02-01-18 10:00,2018,1,2,10,227
02-01-18 11:00,2018,1,2,11,229
02-01-18 12:00,2018,1,2,12,225
02-01-18 13:00,2018,1,2,13,203
02-01-18 14:00,2018,1,2,14,187
02-01-18 15:00,2018,1,2,15,182
02-01-18 16:00,2018,1,2,16,175
02-01-18 17:00,2018,1,2,17,170
02-01-18 18:00,2018,1,2,18,170
02-01-18 19:00,2018,1,2,19,172
02-01-18 20:00,2018,1,2,20,181
02-01-18 21:00,2018,1,2,21,191
02-01-18 22:00,2018,1,2,22,195
