Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,540.8,527,Hazardous,647.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,608.4,571,Hazardous,676.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,612.7,574,Hazardous,617.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,555.4,536,Hazardous,498.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,494.2,496,Hazardous,433.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,429.1,453,Hazardous,364.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,394.0,430,Hazardous,359.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,390.0,427,Hazardous,386.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,395.9,431,Hazardous,399.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,420.8,447,Hazardous,449.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,390.2,427,Hazardous,356.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,298.4,348,Hazardous,208.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,224.1,274,Very Unhealthy,150.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,181.0,231,Very Unhealthy,138.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,149.9,200,Unhealthy,119.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,138.9,194,Unhealthy,128.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,126.4,188,Unhealthy,114.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,116.6,183,Unhealthy,107.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,138.3,194,Unhealthy,160.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,169.1,219,Very Unhealthy,200.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,192.0,242,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,220.9,271,Very Unhealthy,250.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,276.9,327,Hazardous,333.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,352.5,402,Hazardous,428.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,436.8,458,Hazardous,521.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,539.9,526,Hazardous,643.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,610.0,572,Hazardous,680.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,590.0,559,Hazardous,570.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,524.0,516,Hazardous,458.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,413.5,443,Hazardous,303.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,360.8,408,Hazardous,308.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,320.4,370,Hazardous,280.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,306.2,356,Hazardous,292.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,293.6,344,Hazardous,281.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,278.2,328,Hazardous,263.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,259.1,310,Hazardous,240.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,186.5,237,Very Unhealthy,114.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,151.6,202,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,124.7,187,Unhealthy,98.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,106.8,177,Unhealthy,89.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,88.3,168,Unhealthy,70.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,90.6,169,Unhealthy,93.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,110.8,180,Unhealthy,131.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,124.8,187,Unhealthy,139.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,166.9,217,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,200.9,251,Very Unhealthy,235.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,245.4,295,Very Unhealthy,290.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,336.2,386,Hazardous,427.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,392.6,429,Hazardous,449.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 02:00 AM,2020,01,03,02,416.3,444,Hazardous,440.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 03:00 AM,2020,01,03,03,418.7,446,Hazardous,421.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 04:00 AM,2020,01,03,04,396.3,431,Hazardous,374.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 05:00 AM,2020,01,03,05,364.2,410,Hazardous,332.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2020-01-03 06:00 AM,2020,01,03,06,338.1,388,Hazardous,312.0,UG/M3,1 Hr,Valid
