Date (LT),Year,Month,Day,Hour,AQI
01-01-17 1:00,2017,1,1,1,295
01-01-17 2:00,2017,1,1,2,282
01-01-17 3:00,2017,1,1,3,267
01-01-17 4:00,2017,1,1,4,253
01-01-17 5:00,2017,1,1,5,252
01-01-17 6:00,2017,1,1,6,239
01-01-17 7:00,2017,1,1,7,239
01-01-17 8:00,2017,1,1,8,237
01-01-17 9:00,2017,1,1,9,236
01-01-17 10:00,2017,1,1,10,243
01-01-17 11:00,2017,1,1,11,249
01-01-17 12:00,2017,1,1,12,242
01-01-17 13:00,2017,1,1,13,212
01-01-17 14:00,2017,1,1,14,197
01-01-17 15:00,2017,1,1,15,180
01-01-17 16:00,2017,1,1,16,168
01-01-17 17:00,2017,1,1,17,160
01-01-17 18:00,2017,1,1,18,158
01-01-17 19:00,2017,1,1,19,168
01-01-17 20:00,2017,1,1,20,176
01-01-17 21:00,2017,1,1,21,180
01-01-17 22:00,2017,1,1,22,184
01-01-17 23:00,2017,1,1,23,186
02-01-17 0:00,2017,1,2,0,190
02-01-17 1:00,2017,1,2,1,224
02-01-17 2:00,2017,1,2,2,277
02-01-17 3:00,2017,1,2,3,295
02-01-17 4:00,2017,1,2,4,285
02-01-17 5:00,2017,1,2,5,268
02-01-17 6:00,2017,1,2,6,236
02-01-17 7:00,2017,1,2,7,230
02-01-17 8:00,2017,1,2,8,255
02-01-17 9:00,2017,1,2,9,290
02-01-17 10:00,2017,1,2,10,266
02-01-17 11:00,2017,1,2,11,229
02-01-17 12:00,2017,1,2,12,212
02-01-17 13:00,2017,1,2,13,190
02-01-17 14:00,2017,1,2,14,176
02-01-17 15:00,2017,1,2,15,167
02-01-17 16:00,2017,1,2,16,160
02-01-17 17:00,2017,1,2,17,155
02-01-17 18:00,2017,1,2,18,179
02-01-17 19:00,2017,1,2,19,208
02-01-17 20:00,2017,1,2,20,246
02-01-17 21:00,2017,1,2,21,284
02-01-17 22:00,2017,1,2,22,322
02-01-17 23:00,2017,1,2,23,340
03-01-17 0:00,2017,1,3,0,349
03-01-17 1:00,2017,1,3,1,341
03-01-17 2:00,2017,1,3,2,321
03-01-17 3:00,2017,1,3,3,313
03-01-17 4:00,2017,1,3,4,306
03-01-17 5:00,2017,1,3,5,305
03-01-17 6:00,2017,1,3,6,296
03-01-17 7:00,2017,1,3,7,263
03-01-17 8:00,2017,1,3,8,230
03-01-17 9:00,2017,1,3,9,218
03-01-17 10:00,2017,1,3,10,222
03-01-17 11:00,2017,1,3,11,217
03-01-17 12:00,2017,1,3,12,214
03-01-17 13:00,2017,1,3,13,194
03-01-17 14:00,2017,1,3,14,192
03-01-17 15:00,2017,1,3,15,199
03-01-17 16:00,2017,1,3,16,227
03-01-17 17:00,2017,1,3,17,204
03-01-17 18:00,2017,1,3,18,199
03-01-17 19:00,2017,1,3,19,199
03-01-17 20:00,2017,1,3,20,350
03-01-17 21:00,2017,1,3,21,389
03-01-17 22:00,2017,1,3,22,335
03-01-17 23:00,2017,1,3,23,311
04-01-17 0:00,2017,1,4,0,301
04-01-17 1:00,2017,1,4,1,292
04-01-17 2:00,2017,1,4,2,311
04-01-17 3:00,2017,1,4,3,322
04-01-17 4:00,2017,1,4,4,315
04-01-17 5:00,2017,1,4,5,284
04-01-17 6:00,2017,1,4,6,261
04-01-17 7:00,2017,1,4,7,254
04-01-17 8:00,2017,1,4,8,262
04-01-17 9:00,2017,1,4,9,301
04-01-17 10:00,2017,1,4,10,281
04-01-17 11:00,2017,1,4,11,208
04-01-17 12:00,2017,1,4,12,179
04-01-17 13:00,2017,1,4,13,165
04-01-17 14:00,2017,1,4,14,156
04-01-17 15:00,2017,1,4,15,152
04-01-17 16:00,2017,1,4,16,152
04-01-17 17:00,2017,1,4,17,158
04-01-17 18:00,2017,1,4,18,159
04-01-17 19:00,2017,1,4,19,159
04-01-17 20:00,2017,1,4,20,174
04-01-17 21:00,2017,1,4,21,182
04-01-17 22:00,2017,1,4,22,221
04-01-17 23:00,2017,1,4,23,221
05-01-17 0:00,2017,1,5,0,223
05-01-17 1:00,2017,1,5,1,230
05-01-17 2:00,2017,1,5,2,235
05-01-17 3:00,2017,1,5,3,237
05-01-17 4:00,2017,1,5,4,232
05-01-17 5:00,2017,1,5,5,227
05-01-17 6:00,2017,1,5,6,224
05-01-17 7:00,2017,1,5,7,223
05-01-17 8:00,2017,1,5,8,234
05-01-17 9:00,2017,1,5,9,241
05-01-17 10:00,2017,1,5,10,243
05-01-17 11:00,2017,1,5,11,243
05-01-17 12:00,2017,1,5,12,202
05-01-17 13:00,2017,1,5,13,189
05-01-17 14:00,2017,1,5,14,180
05-01-17 15:00,2017,1,5,15,173
05-01-17 16:00,2017,1,5,16,168
05-01-17 17:00,2017,1,5,17,165
05-01-17 18:00,2017,1,5,18,172
05-01-17 19:00,2017,1,5,19,189
05-01-17 20:00,2017,1,5,20,214
05-01-17 21:00,2017,1,5,21,232
05-01-17 22:00,2017,1,5,22,243
05-01-17 23:00,2017,1,5,23,245
06-01-17 0:00,2017,1,6,0,255
06-01-17 1:00,2017,1,6,1,262
06-01-17 2:00,2017,1,6,2,278
06-01-17 3:00,2017,1,6,3,273
06-01-17 4:00,2017,1,6,4,261
06-01-17 5:00,2017,1,6,5,232
06-01-17 6:00,2017,1,6,6,225
06-01-17 7:00,2017,1,6,7,214
06-01-17 8:00,2017,1,6,8,210
06-01-17 9:00,2017,1,6,9,208
06-01-17 10:00,2017,1,6,10,213
06-01-17 11:00,2017,1,6,11,203
06-01-17 12:00,2017,1,6,12,200
06-01-17 13:00,2017,1,6,13,199
06-01-17 14:00,2017,1,6,14,192
06-01-17 15:00,2017,1,6,15,183
06-01-17 16:00,2017,1,6,16,179
06-01-17 17:00,2017,1,6,17,179
06-01-17 18:00,2017,1,6,18,180
06-01-17 19:00,2017,1,6,19,180
06-01-17 20:00,2017,1,6,20,191
06-01-17 21:00,2017,1,6,21,199
06-01-17 22:00,2017,1,6,22,204
06-01-17 23:00,2017,1,6,23,208
07-01-17 0:00,2017,1,7,0,207
07-01-17 1:00,2017,1,7,1,207
07-01-17 2:00,2017,1,7,2,211
07-01-17 3:00,2017,1,7,3,210
07-01-17 4:00,2017,1,7,4,210
07-01-17 5:00,2017,1,7,5,202
07-01-17 6:00,2017,1,7,6,195
07-01-17 7:00,2017,1,7,7,176
07-01-17 8:00,2017,1,7,8,171
07-01-17 9:00,2017,1,7,9,161
07-01-17 10:00,2017,1,7,10,165
07-01-17 11:00,2017,1,7,11,168
07-01-17 12:00,2017,1,7,12,173
07-01-17 13:00,2017,1,7,13,173
07-01-17 14:00,2017,1,7,14,176
07-01-17 15:00,2017,1,7,15,186
07-01-17 16:00,2017,1,7,16,195
07-01-17 17:00,2017,1,7,17,204
07-01-17 18:00,2017,1,7,18,220
07-01-17 19:00,2017,1,7,19,222
07-01-17 20:00,2017,1,7,20,214
07-01-17 21:00,2017,1,7,21,208
07-01-17 22:00,2017,1,7,22,193
07-01-17 23:00,2017,1,7,23,192
08-01-17 0:00,2017,1,8,0,189
08-01-17 1:00,2017,1,8,1,188
08-01-17 2:00,2017,1,8,2,186
08-01-17 3:00,2017,1,8,3,183
08-01-17 4:00,2017,1,8,4,179
08-01-17 5:00,2017,1,8,5,179
08-01-17 6:00,2017,1,8,6,178
08-01-17 7:00,2017,1,8,7,184
08-01-17 8:00,2017,1,8,8,186
08-01-17 9:00,2017,1,8,9,187
08-01-17 10:00,2017,1,8,10,185
08-01-17 11:00,2017,1,8,11,186
08-01-17 12:00,2017,1,8,12,187
08-01-17 13:00,2017,1,8,13,194
08-01-17 14:00,2017,1,8,14,186
08-01-17 15:00,2017,1,8,15,182
08-01-17 16:00,2017,1,8,16,179
08-01-17 17:00,2017,1,8,17,179
08-01-17 18:00,2017,1,8,18,187
08-01-17 19:00,2017,1,8,19,191
08-01-17 20:00,2017,1,8,20,193
08-01-17 21:00,2017,1,8,21,197
08-01-17 22:00,2017,1,8,22,199
08-01-17 23:00,2017,1,8,23,204
09-01-17 0:00,2017,1,9,0,218
09-01-17 1:00,2017,1,9,1,215
09-01-17 2:00,2017,1,9,2,210
09-01-17 3:00,2017,1,9,3,197
09-01-17 4:00,2017,1,9,4,193
09-01-17 5:00,2017,1,9,5,188
09-01-17 6:00,2017,1,9,6,181
09-01-17 7:00,2017,1,9,7,177
09-01-17 8:00,2017,1,9,8,178
09-01-17 9:00,2017,1,9,9,189
09-01-17 10:00,2017,1,9,10,204
09-01-17 11:00,2017,1,9,11,241
09-01-17 12:00,2017,1,9,12,258
09-01-17 13:00,2017,1,9,13,238
09-01-17 14:00,2017,1,9,14,206
09-01-17 15:00,2017,1,9,15,197
09-01-17 16:00,2017,1,9,16,185
09-01-17 17:00,2017,1,9,17,180
09-01-17 18:00,2017,1,9,18,180
09-01-17 19:00,2017,1,9,19,188
09-01-17 20:00,2017,1,9,20,199
09-01-17 21:00,2017,1,9,21,197
09-01-17 22:00,2017,1,9,22,199
09-01-17 23:00,2017,1,9,23,219
10-01-17 0:00,2017,1,10,0,212
10-01-17 1:00,2017,1,10,1,193
10-01-17 2:00,2017,1,10,2,183
10-01-17 3:00,2017,1,10,3,177
10-01-17 4:00,2017,1,10,4,180
10-01-17 5:00,2017,1,10,5,181
10-01-17 6:00,2017,1,10,6,180
10-01-17 7:00,2017,1,10,7,183
10-01-17 8:00,2017,1,10,8,189
10-01-17 9:00,2017,1,10,9,196
10-01-17 10:00,2017,1,10,10,196
10-01-17 11:00,2017,1,10,11,186
10-01-17 12:00,2017,1,10,12,167
10-01-17 13:00,2017,1,10,13,155
10-01-17 14:00,2017,1,10,14,138
10-01-17 15:00,2017,1,10,15,126
10-01-17 16:00,2017,1,10,16,115
10-01-17 17:00,2017,1,10,17,104
10-01-17 18:00,2017,1,10,18,104
10-01-17 19:00,2017,1,10,19,152
10-01-17 20:00,2017,1,10,20,169
10-01-17 21:00,2017,1,10,21,169
10-01-17 22:00,2017,1,10,22,219
10-01-17 23:00,2017,1,10,23,234
11-01-17 0:00,2017,1,11,0,237
11-01-17 1:00,2017,1,11,1,230
11-01-17 2:00,2017,1,11,2,234
11-01-17 3:00,2017,1,11,3,214
11-01-17 4:00,2017,1,11,4,194
11-01-17 5:00,2017,1,11,5,190
11-01-17 6:00,2017,1,11,6,227
11-01-17 7:00,2017,1,11,7,224
11-01-17 8:00,2017,1,11,8,244
11-01-17 9:00,2017,1,11,9,246
11-01-17 10:00,2017,1,11,10,238
11-01-17 11:00,2017,1,11,11,215
11-01-17 12:00,2017,1,11,12,197
11-01-17 13:00,2017,1,11,13,180
11-01-17 14:00,2017,1,11,14,152
11-01-17 15:00,2017,1,11,15,152
11-01-17 16:00,2017,1,11,16,142
11-01-17 17:00,2017,1,11,17,138
11-01-17 18:00,2017,1,11,18,153
11-01-17 19:00,2017,1,11,19,167
11-01-17 20:00,2017,1,11,20,183
11-01-17 21:00,2017,1,11,21,211
11-01-17 22:00,2017,1,11,22,239
11-01-17 23:00,2017,1,11,23,257
12-01-17 0:00,2017,1,12,0,271
12-01-17 1:00,2017,1,12,1,294
12-01-17 2:00,2017,1,12,2,328
12-01-17 3:00,2017,1,12,3,350
12-01-17 4:00,2017,1,12,4,400
12-01-17 5:00,2017,1,12,5,388
12-01-17 6:00,2017,1,12,6,365
12-01-17 7:00,2017,1,12,7,339
12-01-17 8:00,2017,1,12,8,319
12-01-17 9:00,2017,1,12,9,309
12-01-17 10:00,2017,1,12,10,321
12-01-17 11:00,2017,1,12,11,306
12-01-17 12:00,2017,1,12,12,253
12-01-17 13:00,2017,1,12,13,211
12-01-17 14:00,2017,1,12,14,215
12-01-17 15:00,2017,1,12,15,186
12-01-17 16:00,2017,1,12,16,172
