Date (LT),Year,Month,Day,Hour,AQI
01-01-17 1:00,2017,1,1,1,437
01-01-17 2:00,2017,1,1,2,460
01-01-17 3:00,2017,1,1,3,495
01-01-17 4:00,2017,1,1,4,597
01-01-17 5:00,2017,1,1,5,544
01-01-17 6:00,2017,1,1,6,456
01-01-17 7:00,2017,1,1,7,398
01-01-17 8:00,2017,1,1,8,348
01-01-17 9:00,2017,1,1,9,313
01-01-17 10:00,2017,1,1,10,277
01-01-17 11:00,2017,1,1,11,244
01-01-17 12:00,2017,1,1,12,214
01-01-17 13:00,2017,1,1,13,214
01-01-17 14:00,2017,1,1,14,220
01-01-17 15:00,2017,1,1,15,225
01-01-17 16:00,2017,1,1,16,233
01-01-17 17:00,2017,1,1,17,240
01-01-17 18:00,2017,1,1,18,245
01-01-17 19:00,2017,1,1,19,254
01-01-17 20:00,2017,1,1,20,295
01-01-17 21:00,2017,1,1,21,314
01-01-17 22:00,2017,1,1,22,353
01-01-17 23:00,2017,1,1,23,410
02-01-17 0:00,2017,1,2,0,424
02-01-17 1:00,2017,1,2,1,474
02-01-17 2:00,2017,1,2,2,441
02-01-17 3:00,2017,1,2,3,431
02-01-17 4:00,2017,1,2,4,410
02-01-17 5:00,2017,1,2,5,361
02-01-17 6:00,2017,1,2,6,315
02-01-17 7:00,2017,1,2,7,280
02-01-17 8:00,2017,1,2,8,277
02-01-17 9:00,2017,1,2,9,276
02-01-17 10:00,2017,1,2,10,282
02-01-17 11:00,2017,1,2,11,263
02-01-17 12:00,2017,1,2,12,266
02-01-17 13:00,2017,1,2,13,232
02-01-17 14:00,2017,1,2,14,212
02-01-17 15:00,2017,1,2,15,205
02-01-17 16:00,2017,1,2,16,199
02-01-17 17:00,2017,1,2,17,200
02-01-17 18:00,2017,1,2,18,206
02-01-17 19:00,2017,1,2,19,224
02-01-17 20:00,2017,1,2,20,260
02-01-17 21:00,2017,1,2,21,310
02-01-17 22:00,2017,1,2,22,356
02-01-17 23:00,2017,1,2,23,402
03-01-17 0:00,2017,1,3,0,437
03-01-17 1:00,2017,1,3,1,454
03-01-17 2:00,2017,1,3,2,448
03-01-17 3:00,2017,1,3,3,407
03-01-17 4:00,2017,1,3,4,364
03-01-17 5:00,2017,1,3,5,317
03-01-17 6:00,2017,1,3,6,291
03-01-17 7:00,2017,1,3,7,277
03-01-17 8:00,2017,1,3,8,264
03-01-17 9:00,2017,1,3,9,259
03-01-17 10:00,2017,1,3,10,242
03-01-17 11:00,2017,1,3,11,230
03-01-17 12:00,2017,1,3,12,208
03-01-17 13:00,2017,1,3,13,193
03-01-17 14:00,2017,1,3,14,182
03-01-17 15:00,2017,1,3,15,179
03-01-17 16:00,2017,1,3,16,179
03-01-17 17:00,2017,1,3,17,183
03-01-17 18:00,2017,1,3,18,189
03-01-17 19:00,2017,1,3,19,195
03-01-17 20:00,2017,1,3,20,200
03-01-17 21:00,2017,1,3,21,214
03-01-17 22:00,2017,1,3,22,211
03-01-17 23:00,2017,1,3,23,222
04-01-17 0:00,2017,1,4,0,215
04-01-17 1:00,2017,1,4,1,207
04-01-17 2:00,2017,1,4,2,209
04-01-17 3:00,2017,1,4,3,207
04-01-17 4:00,2017,1,4,4,202
04-01-17 5:00,2017,1,4,5,202
04-01-17 6:00,2017,1,4,6,203
04-01-17 7:00,2017,1,4,7,204
